frame	center_x	center_y	w	h
1	2410.500	1281.500	279.000	103.000
2	2410.500	1281.500	279.000	103.000
3	2410.500	1281.500	279.000	103.000
4	2410.500	1281.500	279.000	103.000
5	2410.500	1281.500	279.000	103.000
6	2410.500	1281.500	279.000	103.000
7	2410.500	1281.500	279.000	103.000
8	2410.500	1281.500	279.000	103.000
9	2410.500	1281.500	279.000	103.000
10	2410.500	1281.500	279.000	103.000
11	2410.500	1281.500	279.000	103.000
12	2410.500	1281.500	279.000	103.000
13	2410.500	1281.500	279.000	103.000
14	2410.500	1281.500	279.000	103.000
15	2410.500	1281.500	279.000	103.000
16	2410.500	1281.500	279.000	103.000
17	2410.500	1281.500	279.000	103.000
18	2410.500	1281.500	279.000	103.000
19	2410.500	1281.500	279.000	103.000
20	2410.500	1281.500	279.000	103.000
21	2410.500	1281.500	279.000	103.000
22	2410.500	1281.500	279.000	103.000
23	2410.500	1281.500	279.000	103.000
24	2410.500	1281.500	279.000	103.000
25	2410.500	1281.500	279.000	103.000
26	2410.500	1281.500	279.000	103.000
27	2410.500	1281.500	279.000	103.000
28	2410.500	1281.500	279.000	103.000
29	2410.500	1281.500	279.000	103.000
30	2410.500	1281.500	279.000	103.000
